footfall_station,OBJECTID
W Silvertown,359
Walthamstow Central,289
Walthamstow Queens Road,97
Wandsworth Road,60
Wanstead,117
Wanstead Park,20
Wapping,15
Warren Street,189
Warwick Avenue,397
Waterloo,286
Watford High Street,55
Watford Junction,54
Watford Met,478
Wembley Central,263
Wembley Park,312
West Acton,316
West Brompton,306
West Croydon,84
West Drayton,424
West Ealing,508
West Finchley,336
West Ham,288
West Hampstead,219
West Hampstead LO,67
West Harrow,324
West India Quay,340
West Kensington,179
West Ruislip,132
Westbourne Park,392
Westferry,341
Westminster,283
White City,181
White Hart Lane,24
Whitechapel,310
Willesden Green,439
Willesden Junction,470
Wimbledon,335
Wimbledon Park,177
Wood Green,281
Wood Lane,241
Wood Street,17
Woodford,122
Woodgrange Park,19
Woodside Park,486
Woolwich Arsenal DLR,498
Woolwich Arsenal NR,498
Woolwich EL,407
